timestamp,window_id,chosen_compressor,compression_level,transmit_or_defer,composite_score,entropy,variance,predicted_cpu_temp,predicted_cpu_load,predicted_bw_kbps,throttling_risk,w1_ratio,w2_energy,w3_latency,w4_error
1788267827.239,1,none,0,transmit,0.0066,0.0,0.0,37.6,30.8,1000.0,True,0.1481,0.4815,0.2963,0.0741
1788267833.191,2,none,0,transmit,0.0066,0.0,0.0,37.85,19.35,1000.0,True,0.1481,0.4815,0.2963,0.0741
1788267839.062,3,none,0,transmit,0.0066,0.0,0.0,37.68,15.71,1000.0,True,0.1481,0.4815,0.2963,0.0741
1788267844.976,4,delta_zlib,6,transmit,0.2772,0.0,0.0,37.91,13.26,1000.0,False,0.4545,0.2727,0.1818,0.0909
1788267850.903,5,none,0,transmit,0.0066,0.0,0.0,38.22,11.23,1000.0,True,0.1481,0.4815,0.2963,0.0741
1788268731.015,999,zstd,3,transmit,0.076,1.2,0.05,42.0,25.0,1000.0,False,0.4,0.3,0.2,0.1
1788268735.705,999,zstd,3,transmit,0.076,1.2,0.05,42.0,25.0,1000.0,False,0.4,0.3,0.2,0.1
1788268738.039,999,zstd,3,transmit,0.076,1.2,0.05,42.0,25.0,1000.0,False,0.4,0.3,0.2,0.1
1788268740.387,999,zstd,3,transmit,0.076,1.2,0.05,42.0,25.0,1000.0,False,0.4,0.3,0.2,0.1
1788268742.768,999,zstd,3,transmit,0.076,1.2,0.05,42.0,25.0,1000.0,False,0.4,0.3,0.2,0.1
1788268745.145,999,zstd,3,transmit,0.076,1.2,0.05,42.0,25.0,1000.0,False,0.4,0.3,0.2,0.1
1788268747.553,999,zstd,3,transmit,0.076,1.2,0.05,42.0,25.0,1000.0,False,0.4,0.3,0.2,0.1
1788268749.931,999,zstd,3,transmit,0.076,1.2,0.05,42.0,25.0,1000.0,False,0.4,0.3,0.2,0.1
1788268752.291,999,zstd,3,transmit,0.076,1.2,0.05,42.0,25.0,1000.0,False,0.4,0.3,0.2,0.1
1788268754.58,999,zstd,3,transmit,0.076,1.2,0.05,42.0,25.0,1000.0,False,0.4,0.3,0.2,0.1
1788268756.886,999,zstd,3,transmit,0.076,1.2,0.05,42.0,25.0,1000.0,False,0.4,0.3,0.2,0.1
1788268759.217,999,zstd,3,transmit,0.076,1.2,0.05,42.0,25.0,1000.0,False,0.4,0.3,0.2,0.1
1788268761.505,999,zstd,3,transmit,0.076,1.2,0.05,42.0,25.0,1000.0,False,0.4,0.3,0.2,0.1
1788268763.818,999,zstd,3,transmit,0.076,1.2,0.05,42.0,25.0,1000.0,False,0.4,0.3,0.2,0.1
1788268766.122,999,zstd,3,transmit,0.076,1.2,0.05,42.0,25.0,1000.0,False,0.4,0.3,0.2,0.1
1788268768.413,999,zstd,3,transmit,0.076,1.2,0.05,42.0,25.0,1000.0,False,0.4,0.3,0.2,0.1
1788268770.699,999,zstd,3,transmit,0.076,1.2,0.05,42.0,25.0,1000.0,False,0.4,0.3,0.2,0.1
1788268773.041,999,zstd,3,transmit,0.076,1.2,0.05,42.0,25.0,1000.0,False,0.4,0.3,0.2,0.1
1788268775.387,999,zstd,3,transmit,0.076,1.2,0.05,42.0,25.0,1000.0,False,0.4,0.3,0.2,0.1
1788268777.73,999,zstd,3,transmit,0.076,1.2,0.05,42.0,25.0,1000.0,False,0.4,0.3,0.2,0.1
1788268780.083,999,zstd,3,transmit,0.076,1.2,0.05,42.0,25.0,1000.0,False,0.4,0.3,0.2,0.1
1788268782.411,999,zstd,3,transmit,0.076,1.2,0.05,42.0,25.0,1000.0,False,0.4,0.3,0.2,0.1
